date,home,away,home_score,away_score,league,odds_1,odds_x,odds_2
2021-11-19,Vannes AC,Verdun AC,2,1,Ligue Demo,1.33,5.33,8.73
2021-11-20,Tarbes AS,Perpignan FC,1,3,Ligue Demo,2.35,4.16,2.57
2021-11-21,Chartres SC,Laval CF,3,0,Ligue Demo,1.81,4.06,3.91
2021-11-22,Vannes AC,Rouen FC,2,1,Ligue Demo,2.62,4.55,2.21
2021-11-23,Rouen FC,Biarritz OL,5,1,Ligue Demo,1.48,5.31,5.28
2021-11-25,Albi SC,Vannes AC,0,3,Ligue Demo,4.72,3.9,1.7
2021-11-26,Biarritz OL,Quimper FC,3,4,Ligue Demo,1.67,4.58,4.23
2021-11-27,Laval CF,Rouen FC,1,4,Ligue Demo,5.23,4.35,1.58
2021-11-28,Vannes AC,Biarritz OL,5,3,Ligue Demo,1.98,4.03,3.32
2021-11-29,Rouen FC,Tarbes AS,7,1,Ligue Demo,1.31,5.53,9.05
2021-11-30,Quimper FC,Laval CF,3,1,Ligue Demo,2.31,3.94,2.72
2021-12-02,Verdun AC,Vannes AC,1,3,Ligue Demo,4.7,5.3,1.53
2021-12-03,Colmar United,Tarbes AS,4,1,Ligue Demo,1.61,5.46,4.01
2021-12-04,Albi SC,Chartres SC,3,2,Ligue Demo,2.59,3.92,2.41
2021-12-05,Annecy SC,Rouen FC,2,1,Ligue Demo,2.54,3.85,2.49
2021-12-06,Annecy SC,Tarbes AS,1,0,Ligue Demo,1.36,6.03,6.44
2021-12-07,Tarbes AS,Verdun AC,2,3,Ligue Demo,1.6,4.29,5.04
2021-12-09,Rouen FC,Laval CF,2,0,Ligue Demo,1.36,5.09,8.08
2021-12-10,Colmar United,Vannes AC,5,0,Ligue Demo,2.49,4.22,2.4
2021-12-11,Chartres SC,Vannes AC,3,0,Ligue Demo,3.19,4.12,2.0
2021-12-12,Vannes AC,Tarbes AS,3,0,Ligue Demo,1.63,4.76,4.3
2021-12-13,Albi SC,Laval CF,1,2,Ligue Demo,2.7,3.5,2.51
2021-12-14,Chartres SC,Rouen FC,1,0,Ligue Demo,4.34,5.1,1.59
2021-12-16,Perpignan FC,Chartres SC,3,2,Ligue Demo,2.0,4.52,3.0
2021-12-17,Laval CF,Tarbes AS,1,0,Ligue Demo,2.1,4.0,3.03
2021-12-18,Biarritz OL,Vannes AC,1,4,Ligue Demo,2.55,4.65,2.24
2021-12-19,Tarbes AS,Albi SC,1,2,Ligue Demo,1.61,4.72,4.5
2021-12-20,Colmar United,Annecy SC,2,2,Ligue Demo,2.67,3.92,2.35
2021-12-21,Quimper FC,Biarritz OL,3,2,Ligue Demo,3.32,3.92,2.01
2021-12-23,Laval CF,Verdun AC,2,0,Ligue Demo,1.7,3.81,4.92
2021-12-24,Rouen FC,Vannes AC,3,1,Ligue Demo,1.74,4.49,3.87
2021-12-25,Annecy SC,Chartres SC,0,2,Ligue Demo,1.47,4.85,5.95
2021-12-26,Perpignan FC,Laval CF,1,1,Ligue Demo,1.77,4.46,3.75
2021-12-27,Quimper FC,Rouen FC,0,3,Ligue Demo,5.69,5.19,1.46
2021-12-28,Vannes AC,Albi SC,2,3,Ligue Demo,1.32,5.39,9.13
2021-12-30,Quimper FC,Albi SC,2,2,Ligue Demo,2.22,3.3,3.31
2021-12-31,Perpignan FC,Quimper FC,1,3,Ligue Demo,1.77,3.77,4.46
2022-01-01,Chartres SC,Perpignan FC,0,2,Ligue Demo,1.94,4.45,3.18
2022-01-02,Quimper FC,Vannes AC,1,2,Ligue Demo,3.73,4.2,1.82
2022-01-03,Biarritz OL,Tarbes AS,2,0,Ligue Demo,1.76,4.71,3.65
2022-01-04,Vannes AC,Quimper FC,0,1,Ligue Demo,1.48,4.13,7.26
2022-06-01,Chartres SC,Annecy SC,1,2,Ligue Demo,3.44,4.53,1.84
2022-06-02,Perpignan FC,Laval CF,4,0,Ligue Demo,1.94,3.61,3.83
2022-06-03,Chartres SC,Tarbes AS,2,1,Ligue Demo,2.06,3.99,3.15
2022-06-04,Tarbes AS,Vannes AC,1,3,Ligue Demo,3.39,4.19,1.92
2022-06-05,Tarbes AS,Perpignan FC,0,0,Ligue Demo,2.24,3.97,2.8
2022-06-06,Rouen FC,Perpignan FC,3,2,Ligue Demo,1.43,5.42,5.79
2022-06-08,Albi SC,Colmar United,1,2,Ligue Demo,4.11,4.79,1.66
2022-06-09,Verdun AC,Vannes AC,0,7,Ligue Demo,5.0,4.79,1.55
2022-06-10,Rouen FC,Laval CF,4,1,Ligue Demo,1.26,6.98,8.57
2022-06-11,Perpignan FC,Tarbes AS,0,1,Ligue Demo,1.92,4.45,3.25
2022-06-12,Biarritz OL,Vannes AC,4,1,Ligue Demo,2.72,4.54,2.14
2022-06-13,Laval CF,Colmar United,2,0,Ligue Demo,3.36,3.37,2.17
2022-06-15,Laval CF,Rouen FC,1,0,Ligue Demo,5.04,4.94,1.53
2022-06-16,Perpignan FC,Annecy SC,0,3,Ligue Demo,3.02,3.84,2.16
2022-06-17,Rouen FC,Biarritz OL,2,2,Ligue Demo,1.39,5.36,6.7
2022-06-18,Tarbes AS,Biarritz OL,1,1,Ligue Demo,2.92,3.78,2.23
2022-06-19,Chartres SC,Colmar United,0,3,Ligue Demo,2.62,4.06,2.34
2022-06-20,Biarritz OL,Albi SC,3,2,Ligue Demo,1.5,5.26,5.03
2022-06-22,Quimper FC,Annecy SC,0,2,Ligue Demo,4.95,5.06,1.53
2022-06-23,Verdun AC,Biarritz OL,0,4,Ligue Demo,3.53,3.94,1.93
2022-06-24,Vannes AC,Quimper FC,4,3,Ligue Demo,1.43,4.77,6.96
2022-06-25,Vannes AC,Tarbes AS,1,1,Ligue Demo,1.43,5.62,5.56
2022-06-26,Albi SC,Chartres SC,1,0,Ligue Demo,2.71,3.52,2.49
2022-06-27,Verdun AC,Quimper FC,3,1,Ligue Demo,3.02,3.4,2.33
2022-06-29,Albi SC,Vannes AC,2,2,Ligue Demo,4.56,4.56,1.62
2022-06-30,Vannes AC,Annecy SC,3,1,Ligue Demo,2.28,4.5,2.54
2022-07-01,Quimper FC,Perpignan FC,0,2,Ligue Demo,2.49,3.69,2.62
2022-07-02,Perpignan FC,Albi SC,2,1,Ligue Demo,1.63,4.72,4.33
2022-07-03,Vannes AC,Rouen FC,1,2,Ligue Demo,2.52,5.01,2.18
2022-07-04,Laval CF,Perpignan FC,1,2,Ligue Demo,2.66,4.18,2.28
2022-07-06,Quimper FC,Vannes AC,1,5,Ligue Demo,4.33,4.69,1.64
2022-07-07,Tarbes AS,Chartres SC,0,2,Ligue Demo,2.46,4.23,2.42
2022-07-08,Biarritz OL,Perpignan FC,1,1,Ligue Demo,2.1,4.13,2.97
2022-07-09,Quimper FC,Colmar United,1,2,Ligue Demo,4.14,4.14,1.75
2022-07-10,Laval CF,Albi SC,4,1,Ligue Demo,1.73,4.1,4.31
2022-07-11,Perpignan FC,Quimper FC,2,0,Ligue Demo,1.8,3.78,4.25
2022-07-13,Biarritz OL,Laval CF,2,1,Ligue Demo,1.74,3.95,4.42
2022-07-14,Colmar United,Chartres SC,2,3,Ligue Demo,1.73,4.55,3.89
2022-07-15,Chartres SC,Quimper FC,4,0,Ligue Demo,1.75,4.27,4.02
2022-07-16,Rouen FC,Vannes AC,1,0,Ligue Demo,1.62,5.26,4.02
2022-07-17,Perpignan FC,Chartres SC,2,0,Ligue Demo,2.05,3.87,3.24
2022-07-18,Rouen FC,Colmar United,2,0,Ligue Demo,1.65,4.52,4.38
2022-07-20,Laval CF,Verdun AC,2,2,Ligue Demo,1.73,4.26,4.15
2022-07-21,Quimper FC,Laval CF,1,1,Ligue Demo,2.38,3.83,2.68
2022-07-22,Colmar United,Annecy SC,2,1,Ligue Demo,2.83,3.53,2.39
2022-07-23,Tarbes AS,Annecy SC,1,1,Ligue Demo,3.86,4.65,1.72
2022-07-24,Laval CF,Quimper FC,3,2,Ligue Demo,1.88,3.87,3.76
2022-07-25,Annecy SC,Chartres SC,3,3,Ligue Demo,1.65,3.99,5.02
2022-07-27,Perpignan FC,Rouen FC,0,2,Ligue Demo,4.1,4.26,1.74
2022-07-28,Tarbes AS,Quimper FC,1,1,Ligue Demo,1.91,4.5,3.22
2022-07-29,Laval CF,Annecy SC,2,4,Ligue Demo,4.45,4.29,1.68
2022-07-30,Rouen FC,Chartres SC,0,0,Ligue Demo,1.42,4.96,6.71
2022-07-31,Annecy SC,Albi SC,2,1,Ligue Demo,1.24,7.06,9.3
2022-08-01,Quimper FC,Chartres SC,1,0,Ligue Demo,2.67,3.6,2.48
2022-08-03,Verdun AC,Rouen FC,0,4,Ligue Demo,9.92,6.95,1.23
2022-08-04,Colmar United,Albi SC,4,1,Ligue Demo,1.45,5.5,5.51
2022-08-05,Colmar United,Quimper FC,3,2,Ligue Demo,1.64,4.13,4.96
2022-08-06,Chartres SC,Perpignan FC,1,1,Ligue Demo,2.36,4.51,2.44
2022-08-07,Laval CF,Tarbes AS,2,1,Ligue Demo,2.55,3.41,2.7
2022-08-08,Biarritz OL,Quimper FC,1,0,Ligue Demo,1.54,4.64,5.25
2022-08-10,Biarritz OL,Rouen FC,3,2,Ligue Demo,3.56,4.64,1.79
2022-08-11,Vannes AC,Perpignan FC,1,1,Ligue Demo,2.01,3.56,3.62
2022-08-12,Quimper FC,Albi SC,0,2,Ligue Demo,1.99,3.79,3.47
2022-08-13,Colmar United,Laval CF,1,1,Ligue Demo,1.53,5.17,4.79
2022-08-14,Annecy SC,Verdun AC,4,0,Ligue Demo,1.2,7.17,11.85
2022-08-15,Tarbes AS,Colmar United,2,0,Ligue Demo,3.19,4.26,1.97
2022-08-17,Verdun AC,Annecy SC,0,3,Ligue Demo,5.91,4.59,1.5
2022-08-18,Perpignan FC,Verdun AC,2,2,Ligue Demo,1.52,4.8,5.34
2022-08-19,Verdun AC,Laval CF,1,1,Ligue Demo,2.98,3.76,2.21
2022-08-20,Albi SC,Laval CF,0,3,Ligue Demo,2.44,3.91,2.57
2022-08-21,Laval CF,Biarritz OL,0,0,Ligue Demo,2.48,4.3,2.38
2022-08-22,Vannes AC,Colmar United,1,0,Ligue Demo,1.81,4.08,3.87
2022-08-24,Colmar United,Verdun AC,2,2,Ligue Demo,1.36,4.97,8.43
2022-08-25,Verdun AC,Perpignan FC,1,3,Ligue Demo,4.34,4.42,1.67
2022-08-26,Verdun AC,Colmar United,0,1,Ligue Demo,4.42,5.31,1.56
2022-08-27,Albi SC,Rouen FC,0,1,Ligue Demo,6.38,5.18,1.42
2022-08-28,Rouen FC,Tarbes AS,0,0,Ligue Demo,1.34,5.37,8.28
2022-08-29,Quimper FC,Biarritz OL,2,4,Ligue Demo,3.0,4.18,2.07
2022-08-31,Tarbes AS,Verdun AC,5,1,Ligue Demo,1.62,4.12,5.09
2022-09-01,Vannes AC,Albi SC,3,2,Ligue Demo,1.44,4.32,7.68
2022-09-02,Biarritz OL,Annecy SC,4,4,Ligue Demo,2.97,3.89,2.17
2022-09-03,Perpignan FC,Biarritz OL,1,0,Ligue Demo,2.5,3.62,2.64
2022-09-04,Biarritz OL,Verdun AC,4,2,Ligue Demo,1.4,4.89,7.38
2022-09-05,Annecy SC,Colmar United,2,3,Ligue Demo,1.8,4.11,3.92
2022-09-07,Quimper FC,Verdun AC,1,2,Ligue Demo,1.74,3.77,4.65
2022-09-08,Vannes AC,Biarritz OL,2,1,Ligue Demo,1.73,4.77,3.75
2022-09-09,Annecy SC,Biarritz OL,1,1,Ligue Demo,1.69,4.86,3.89
2022-09-10,Colmar United,Biarritz OL,2,3,Ligue Demo,1.68,4.85,3.94
2022-09-11,Annecy SC,Quimper FC,2,0,Ligue Demo,1.31,6.09,7.69
2022-09-12,Biarritz OL,Chartres SC,1,2,Ligue Demo,1.86,4.05,3.68
2022-09-14,Albi SC,Perpignan FC,3,2,Ligue Demo,3.44,3.98,1.95
2022-09-15,Annecy SC,Laval CF,0,2,Ligue Demo,1.39,5.2,7.06
2022-09-16,Albi SC,Annecy SC,0,1,Ligue Demo,4.99,4.96,1.53
2022-09-17,Annecy SC,Vannes AC,2,0,Ligue Demo,1.95,4.07,3.36
2022-09-18,Perpignan FC,Vannes AC,2,2,Ligue Demo,2.93,4.08,2.13
2022-09-19,Perpignan FC,Colmar United,3,5,Ligue Demo,2.68,3.82,2.38
2022-09-21,Verdun AC,Albi SC,0,1,Ligue Demo,2.41,3.71,2.69
2022-09-22,Chartres SC,Laval CF,2,1,Ligue Demo,1.81,4.06,3.92
2022-09-23,Rouen FC,Albi SC,4,1,Ligue Demo,1.17,7.73,13.95
2022-09-24,Verdun AC,Tarbes AS,0,2,Ligue Demo,3.35,3.67,2.07
2022-09-25,Chartres SC,Biarritz OL,2,3,Ligue Demo,2.71,4.41,2.18
2022-09-26,Annecy SC,Rouen FC,1,1,Ligue Demo,2.62,3.89,2.41
2022-09-28,Verdun AC,Chartres SC,1,0,Ligue Demo,3.5,4.21,1.88
2022-09-29,Colmar United,Perpignan FC,2,2,Ligue Demo,1.93,3.89,3.59
2022-09-30,Colmar United,Vannes AC,1,3,Ligue Demo,2.63,3.66,2.49
2022-10-01,Albi SC,Tarbes AS,3,1,Ligue Demo,2.64,3.73,2.45
2022-10-02,Tarbes AS,Laval CF,2,2,Ligue Demo,2.08,3.63,3.36
2022-10-03,Quimper FC,Tarbes AS,1,0,Ligue Demo,2.11,4.1,2.97
2022-10-05,Chartres SC,Albi SC,4,2,Ligue Demo,1.85,3.87,3.91
2022-10-06,Quimper FC,Rouen FC,1,3,Ligue Demo,5.86,4.82,1.48
2022-10-07,Rouen FC,Verdun AC,4,0,Ligue Demo,1.09,11.26,20.17
2022-10-08,Biarritz OL,Tarbes AS,3,3,Ligue Demo,1.72,4.39,4.06
2022-10-09,Rouen FC,Annecy SC,1,1,Ligue Demo,1.9,4.15,3.49
2022-10-10,Chartres SC,Verdun AC,3,1,Ligue Demo,1.53,4.72,5.28
2022-10-12,Colmar United,Tarbes AS,4,0,Ligue Demo,1.71,4.39,4.12
2022-10-13,Albi SC,Quimper FC,3,1,Ligue Demo,2.14,4.0,2.96
2022-10-14,Annecy SC,Tarbes AS,1,0,Ligue Demo,1.43,5.48,5.79
2022-10-15,Colmar United,Rouen FC,3,3,Ligue Demo,2.97,4.42,2.03
2022-10-16,Laval CF,Chartres SC,2,1,Ligue Demo,2.64,3.97,2.36
2022-10-17,Albi SC,Verdun AC,1,0,Ligue Demo,1.84,4.34,3.56
2022-10-19,Rouen FC,Quimper FC,5,0,Ligue Demo,1.24,7.25,9.32
2022-10-20,Chartres SC,Vannes AC,2,0,Ligue Demo,3.14,4.81,1.89
2022-10-21,Vannes AC,Chartres SC,3,1,Ligue Demo,1.56,4.71,4.92
2022-10-22,Biarritz OL,Colmar United,5,2,Ligue Demo,2.26,3.68,2.94
2022-10-23,Tarbes AS,Rouen FC,1,1,Ligue Demo,4.79,4.78,1.57
2022-10-24,Vannes AC,Laval CF,3,2,Ligue Demo,1.38,5.67,6.47
2022-10-26,Annecy SC,Perpignan FC,3,0,Ligue Demo,1.63,4.77,4.35
2022-10-27,Chartres SC,Rouen FC,0,4,Ligue Demo,4.33,5.64,1.55
2022-10-28,Vannes AC,Verdun AC,3,2,Ligue Demo,1.25,6.84,9.27
2022-10-29,Laval CF,Vannes AC,2,3,Ligue Demo,4.54,4.83,1.59
2022-10-30,Albi SC,Biarritz OL,1,2,Ligue Demo,3.67,4.17,1.84
2022-10-31,Tarbes AS,Albi SC,2,0,Ligue Demo,1.72,4.89,3.71
2023-03-28,Laval CF,Perpignan FC,1,0,Ligue Demo,2.78,3.82,2.3
2023-03-29,Chartres SC,Quimper FC,2,0,Ligue Demo,1.85,3.89,3.87
2023-03-30,Vannes AC,Laval CF,5,2,Ligue Demo,1.5,4.81,5.48
2023-03-31,Quimper FC,Perpignan FC,0,1,Ligue Demo,2.98,3.29,2.41
2023-04-01,Verdun AC,Chartres SC,0,2,Ligue Demo,3.33,4.22,1.93
2023-04-02,Perpignan FC,Tarbes AS,2,0,Ligue Demo,1.89,4.59,3.26
2023-04-04,Rouen FC,Annecy SC,2,1,Ligue Demo,1.93,3.71,3.74
2023-04-05,Verdun AC,Perpignan FC,2,0,Ligue Demo,4.07,3.72,1.85
2023-04-06,Laval CF,Vannes AC,0,0,Ligue Demo,3.25,4.54,1.9
2023-04-07,Quimper FC,Biarritz OL,4,1,Ligue Demo,3.45,3.66,2.03
2023-04-08,Rouen FC,Verdun AC,7,0,Ligue Demo,1.15,8.07,16.6
2023-04-09,Chartres SC,Rouen FC,1,1,Ligue Demo,4.17,4.94,1.63
2023-04-11,Verdun AC,Annecy SC,1,6,Ligue Demo,6.9,5.1,1.4
2023-04-12,Tarbes AS,Chartres SC,1,1,Ligue Demo,2.49,4.41,2.34
2023-04-13,Albi SC,Biarritz OL,1,1,Ligue Demo,3.71,4.36,1.8
2023-04-14,Colmar United,Tarbes AS,1,2,Ligue Demo,1.66,4.64,4.25
2023-04-15,Albi SC,Verdun AC,2,4,Ligue Demo,2.06,3.97,3.15
2023-04-16,Biarritz OL,Perpignan FC,3,3,Ligue Demo,2.13,3.66,3.19
2023-04-18,Albi SC,Quimper FC,0,2,Ligue Demo,2.25,3.54,3.04
2023-04-19,Tarbes AS,Perpignan FC,2,2,Ligue Demo,2.55,3.96,2.44
2023-04-20,Albi SC,Tarbes AS,0,1,Ligue Demo,2.83,3.82,2.27
2023-04-21,Biarritz OL,Annecy SC,2,3,Ligue Demo,2.79,3.8,2.3
2023-04-22,Verdun AC,Tarbes AS,1,3,Ligue Demo,3.06,4.39,2.0
2023-04-23,Biarritz OL,Rouen FC,2,1,Ligue Demo,3.46,4.07,1.92
2023-04-25,Verdun AC,Colmar United,0,5,Ligue Demo,4.66,4.55,1.61
2023-04-26,Quimper FC,Rouen FC,0,2,Ligue Demo,7.61,5.29,1.36
2023-04-27,Perpignan FC,Annecy SC,2,3,Ligue Demo,3.06,4.11,2.06
2023-04-28,Rouen FC,Tarbes AS,2,1,Ligue Demo,1.26,6.69,8.75
2023-04-29,Rouen FC,Vannes AC,3,1,Ligue Demo,1.65,4.74,4.21
2023-04-30,Albi SC,Colmar United,0,3,Ligue Demo,4.38,3.92,1.75
2023-05-02,Vannes AC,Biarritz OL,4,2,Ligue Demo,1.68,4.98,3.86
2023-05-03,Verdun AC,Laval CF,0,1,Ligue Demo,2.99,4.01,2.12
2023-05-04,Quimper FC,Laval CF,0,2,Ligue Demo,2.51,3.7,2.59
2023-05-05,Vannes AC,Verdun AC,3,1,Ligue Demo,1.19,7.48,12.54
2023-05-06,Rouen FC,Perpignan FC,1,3,Ligue Demo,1.39,5.24,6.81
2023-05-07,Quimper FC,Annecy SC,0,6,Ligue Demo,5.17,4.2,1.6
2023-05-09,Biarritz OL,Colmar United,4,3,Ligue Demo,2.38,4.13,2.54
2023-05-10,Laval CF,Annecy SC,0,1,Ligue Demo,3.96,4.63,1.7
2023-05-11,Perpignan FC,Rouen FC,0,3,Ligue Demo,3.83,4.13,1.81
2023-05-12,Annecy SC,Quimper FC,4,0,Ligue Demo,1.3,5.87,8.86
2023-05-13,Perpignan FC,Biarritz OL,0,1,Ligue Demo,2.23,4.67,2.55
2023-05-14,Quimper FC,Verdun AC,2,0,Ligue Demo,1.69,4.33,4.29
2023-05-16,Colmar United,Rouen FC,1,0,Ligue Demo,2.85,4.25,2.13
2023-05-17,Tarbes AS,Albi SC,1,1,Ligue Demo,1.92,3.99,3.52
2023-05-18,Chartres SC,Biarritz OL,2,1,Ligue Demo,2.39,3.88,2.64
