date,winner,loser,game,event,winner_score,loser_score
2025-01-14,Solstice,Nightfall,CS2,Demo League,13,9
2025-01-14,Nova Esports,Nightfall,CS2,Demo League,13,3
2025-01-14,Nova Esports,Solstice,CS2,Demo League,13,6
2025-01-14,Meridian,Zenith Nine,CS2,Demo League,13,11
2025-01-15,Ironclad,Vertex Gaming,CS2,Demo League,13,3
2025-01-15,Kappa Squad,Ironclad,CS2,Demo League,13,7
2025-01-15,Ironclad,Zenith Nine,CS2,Demo League,13,5
2025-01-15,Vertex Gaming,Zenith Nine,CS2,Demo League,13,4
2025-01-15,Nightfall,Meridian,CS2,Demo League,13,11
2025-01-16,Solstice,Vertex Gaming,CS2,Demo League,13,3
2025-01-16,Ironclad,Nova Esports,CS2,Demo League,13,2
2025-01-16,Solstice,Meridian,CS2,Demo League,13,4
2025-01-16,Meridian,Kappa Squad,CS2,Demo League,13,11
2025-01-16,Solstice,Meridian,CS2,Demo League,13,3
2025-01-17,Vertex Gaming,Ironclad,CS2,Demo League,13,5
2025-01-17,Ironclad,Nightfall,CS2,Demo League,13,8
2025-01-17,Vertex Gaming,Meridian,CS2,Demo League,13,11
2025-01-17,Ironclad,Zenith Nine,CS2,Demo League,13,9
2025-01-17,Meridian,Zenith Nine,CS2,Demo League,13,6
2025-01-18,Zenith Nine,Ironclad,CS2,Demo League,13,3
2025-01-18,Kappa Squad,Meridian,CS2,Demo League,13,3
2025-01-18,Solstice,Kappa Squad,CS2,Demo League,13,11
2025-01-18,Zenith Nine,Meridian,CS2,Demo League,13,9
2025-01-18,Vertex Gaming,Nightfall,CS2,Demo League,13,4
2025-01-19,Nova Esports,Vertex Gaming,CS2,Demo League,13,3
2025-01-19,Solstice,Ironclad,CS2,Demo League,13,11
2025-01-19,Ironclad,Nightfall,CS2,Demo League,13,9
2025-01-19,Meridian,Ironclad,CS2,Demo League,13,10
2025-01-19,Solstice,Zenith Nine,CS2,Demo League,13,3
2025-01-20,Nightfall,Zenith Nine,CS2,Demo League,13,2
2025-01-20,Zenith Nine,Nightfall,CS2,Demo League,13,6
2025-01-20,Meridian,Nightfall,CS2,Demo League,13,7
2025-01-20,Nightfall,Meridian,CS2,Demo League,13,9
2025-01-20,Nightfall,Nova Esports,CS2,Demo League,13,9
2025-01-21,Meridian,Kappa Squad,CS2,Demo League,13,8
2025-01-21,Meridian,Zenith Nine,CS2,Demo League,13,9
2025-01-21,Nova Esports,Zenith Nine,CS2,Demo League,13,11
2025-01-21,Kappa Squad,Zenith Nine,CS2,Demo League,13,9
2025-01-21,Nightfall,Zenith Nine,CS2,Demo League,13,11
2025-01-22,Solstice,Ironclad,CS2,Demo League,13,9
2025-01-22,Vertex Gaming,Zenith Nine,CS2,Demo League,13,7
2025-01-22,Kappa Squad,Vertex Gaming,CS2,Demo League,13,7
2025-01-22,Solstice,Nova Esports,CS2,Demo League,13,4
2025-01-22,Zenith Nine,Meridian,CS2,Demo League,13,8
2025-01-23,Kappa Squad,Zenith Nine,CS2,Demo League,13,10
2025-01-23,Ironclad,Meridian,CS2,Demo League,13,6
2025-01-23,Nova Esports,Nightfall,CS2,Demo League,13,8
2025-01-23,Ironclad,Zenith Nine,CS2,Demo League,13,3
2025-01-23,Nova Esports,Zenith Nine,CS2,Demo League,13,9
2025-01-24,Meridian,Kappa Squad,CS2,Demo League,13,6
2025-01-24,Nova Esports,Ironclad,CS2,Demo League,13,11
2025-01-24,Ironclad,Nova Esports,CS2,Demo League,13,10
2025-01-24,Meridian,Ironclad,CS2,Demo League,13,7
2025-01-24,Nova Esports,Solstice,CS2,Demo League,13,10
2025-01-25,Vertex Gaming,Meridian,CS2,Demo League,13,9
2025-01-25,Solstice,Meridian,CS2,Demo League,13,8
2025-01-25,Vertex Gaming,Nova Esports,CS2,Demo League,13,9
2025-01-25,Nightfall,Vertex Gaming,CS2,Demo League,13,4
2025-01-25,Solstice,Zenith Nine,CS2,Demo League,13,5
2025-01-26,Zenith Nine,Nova Esports,CS2,Demo League,13,8
2025-01-26,Vertex Gaming,Kappa Squad,CS2,Demo League,13,11
2025-01-26,Ironclad,Meridian,CS2,Demo League,13,3
2025-01-26,Vertex Gaming,Nightfall,CS2,Demo League,13,10
2025-01-26,Nova Esports,Zenith Nine,CS2,Demo League,13,8
2025-01-27,Nova Esports,Kappa Squad,CS2,Demo League,13,8
2025-01-27,Nova Esports,Nightfall,CS2,Demo League,13,3
2025-01-27,Nova Esports,Ironclad,CS2,Demo League,13,2
2025-01-27,Zenith Nine,Nightfall,CS2,Demo League,13,3
2025-01-27,Nova Esports,Solstice,CS2,Demo League,13,7
2025-01-28,Nova Esports,Vertex Gaming,CS2,Demo League,13,9
2025-01-28,Ironclad,Zenith Nine,CS2,Demo League,13,10
2025-01-28,Solstice,Kappa Squad,CS2,Demo League,13,3
2025-01-28,Vertex Gaming,Ironclad,CS2,Demo League,13,8
2025-01-28,Ironclad,Nova Esports,CS2,Demo League,13,5
2025-01-29,Nova Esports,Nightfall,CS2,Demo League,13,2
2025-01-29,Nova Esports,Meridian,CS2,Demo League,13,6
2025-01-29,Vertex Gaming,Nightfall,CS2,Demo League,13,7
2025-01-29,Vertex Gaming,Ironclad,CS2,Demo League,13,5
2025-01-29,Kappa Squad,Zenith Nine,CS2,Demo League,13,2
2025-01-30,Solstice,Zenith Nine,CS2,Demo League,13,4
2025-01-30,Meridian,Zenith Nine,CS2,Demo League,13,11
2025-01-30,Meridian,Nightfall,CS2,Demo League,13,10
2025-01-30,Nightfall,Meridian,CS2,Demo League,13,7
2025-01-30,Ironclad,Solstice,CS2,Demo League,13,5
2025-01-31,Ironclad,Nightfall,CS2,Demo League,13,7
2025-01-31,Meridian,Vertex Gaming,CS2,Demo League,13,5
2025-01-31,Vertex Gaming,Nova Esports,CS2,Demo League,13,4
2025-01-31,Solstice,Zenith Nine,CS2,Demo League,13,10
2025-01-31,Nightfall,Kappa Squad,CS2,Demo League,13,3
2025-02-01,Zenith Nine,Meridian,CS2,Demo League,13,8
2025-02-01,Ironclad,Zenith Nine,CS2,Demo League,13,4
2025-02-01,Nightfall,Meridian,CS2,Demo League,13,10
2025-02-01,Vertex Gaming,Nova Esports,CS2,Demo League,13,9
2025-02-01,Solstice,Zenith Nine,CS2,Demo League,13,10
2025-02-02,Nova Esports,Kappa Squad,CS2,Demo League,13,8
2025-02-02,Vertex Gaming,Kappa Squad,CS2,Demo League,13,5
2025-02-02,Kappa Squad,Meridian,CS2,Demo League,13,3
2025-02-02,Nova Esports,Meridian,CS2,Demo League,13,7
2025-02-02,Solstice,Kappa Squad,CS2,Demo League,13,9
2025-02-03,Zenith Nine,Kappa Squad,CS2,Demo League,13,11
2025-02-03,Nova Esports,Solstice,CS2,Demo League,13,10
2025-02-03,Zenith Nine,Solstice,CS2,Demo League,13,2
2025-02-03,Solstice,Nightfall,CS2,Demo League,13,5
2025-02-03,Solstice,Ironclad,CS2,Demo League,13,11
2025-02-04,Meridian,Ironclad,CS2,Demo League,13,9
2025-02-04,Meridian,Kappa Squad,CS2,Demo League,13,11
2025-02-04,Kappa Squad,Vertex Gaming,CS2,Demo League,13,7
2025-02-04,Solstice,Nova Esports,CS2,Demo League,13,9
2025-02-04,Zenith Nine,Solstice,CS2,Demo League,13,6
2025-02-05,Vertex Gaming,Kappa Squad,CS2,Demo League,13,8
2025-02-05,Zenith Nine,Ironclad,CS2,Demo League,13,3
2025-02-05,Nova Esports,Zenith Nine,CS2,Demo League,13,11
2025-02-05,Vertex Gaming,Kappa Squad,CS2,Demo League,13,7
2025-02-05,Meridian,Zenith Nine,CS2,Demo League,13,3
2025-02-06,Vertex Gaming,Nova Esports,CS2,Demo League,13,8
2025-02-06,Solstice,Nova Esports,CS2,Demo League,13,3
2025-02-06,Zenith Nine,Ironclad,CS2,Demo League,13,9
2025-02-06,Meridian,Vertex Gaming,CS2,Demo League,13,5
2025-02-06,Nova Esports,Zenith Nine,CS2,Demo League,13,7
2025-02-07,Vertex Gaming,Zenith Nine,CS2,Demo League,13,8
2025-02-07,Nightfall,Zenith Nine,CS2,Demo League,13,5
2025-02-07,Zenith Nine,Nova Esports,CS2,Demo League,13,5
2025-02-07,Nightfall,Ironclad,CS2,Demo League,13,11
2025-02-07,Solstice,Kappa Squad,CS2,Demo League,13,9
2025-02-08,Nova Esports,Kappa Squad,CS2,Demo League,13,11
2025-02-08,Meridian,Nightfall,CS2,Demo League,13,6
2025-02-08,Zenith Nine,Kappa Squad,CS2,Demo League,13,7
2025-02-08,Meridian,Ironclad,CS2,Demo League,13,9
2025-02-08,Nightfall,Zenith Nine,CS2,Demo League,13,3
2025-02-09,Vertex Gaming,Solstice,CS2,Demo League,13,9
2025-02-09,Meridian,Nightfall,CS2,Demo League,13,7
2025-02-09,Vertex Gaming,Nightfall,CS2,Demo League,13,3
2025-02-09,Ironclad,Nova Esports,CS2,Demo League,13,5
2025-02-09,Nova Esports,Solstice,CS2,Demo League,13,3
2025-02-10,Nova Esports,Kappa Squad,CS2,Demo League,13,7
2025-02-10,Meridian,Solstice,CS2,Demo League,13,9
2025-02-10,Nova Esports,Kappa Squad,CS2,Demo League,13,11
2025-02-10,Nova Esports,Zenith Nine,CS2,Demo League,13,10
2025-02-10,Nightfall,Solstice,CS2,Demo League,13,10
2025-02-11,Nova Esports,Zenith Nine,CS2,Demo League,13,3
2025-02-11,Ironclad,Nova Esports,CS2,Demo League,13,2
2025-02-11,Kappa Squad,Ironclad,CS2,Demo League,13,8
2025-02-11,Solstice,Zenith Nine,CS2,Demo League,13,5
2025-02-11,Ironclad,Meridian,CS2,Demo League,13,8
2025-02-12,Solstice,Ironclad,CS2,Demo League,13,11
2025-02-12,Ironclad,Kappa Squad,CS2,Demo League,13,2
2025-02-12,Nightfall,Ironclad,CS2,Demo League,13,7
2025-02-12,Ironclad,Vertex Gaming,CS2,Demo League,13,2
2025-02-12,Ironclad,Solstice,CS2,Demo League,13,11
2025-02-13,Zenith Nine,Meridian,CS2,Demo League,13,5
2025-02-13,Nova Esports,Ironclad,CS2,Demo League,13,2
2025-02-13,Vertex Gaming,Kappa Squad,CS2,Demo League,13,10
2025-02-13,Vertex Gaming,Kappa Squad,CS2,Demo League,13,6
2025-02-13,Vertex Gaming,Ironclad,CS2,Demo League,13,10
2025-02-14,Ironclad,Zenith Nine,CS2,Demo League,13,4
2025-02-14,Vertex Gaming,Solstice,CS2,Demo League,13,2
2025-02-14,Vertex Gaming,Ironclad,CS2,Demo League,13,6
2025-02-14,Vertex Gaming,Nightfall,CS2,Demo League,13,5
2025-02-14,Vertex Gaming,Solstice,CS2,Demo League,13,11
2025-02-15,Nightfall,Meridian,CS2,Demo League,13,3
2025-02-15,Nightfall,Zenith Nine,CS2,Demo League,13,4
2025-02-15,Solstice,Vertex Gaming,CS2,Demo League,13,2
2025-02-15,Nova Esports,Solstice,CS2,Demo League,13,11
2025-02-15,Ironclad,Nightfall,CS2,Demo League,13,11
2025-02-16,Ironclad,Meridian,CS2,Demo League,13,4
2025-02-16,Kappa Squad,Nightfall,CS2,Demo League,13,6
2025-02-16,Solstice,Zenith Nine,CS2,Demo League,13,6
2025-02-16,Nova Esports,Ironclad,CS2,Demo League,13,10
2025-02-16,Nightfall,Vertex Gaming,CS2,Demo League,13,4
2025-02-17,Solstice,Nightfall,CS2,Demo League,13,11
2025-02-17,Ironclad,Zenith Nine,CS2,Demo League,13,3
2025-02-17,Ironclad,Zenith Nine,CS2,Demo League,13,6
2025-02-17,Kappa Squad,Nightfall,CS2,Demo League,13,9
2025-02-17,Meridian,Zenith Nine,CS2,Demo League,13,6
2025-02-18,Meridian,Nova Esports,CS2,Demo League,13,6
2025-02-18,Zenith Nine,Kappa Squad,CS2,Demo League,13,11
2025-02-18,Meridian,Zenith Nine,CS2,Demo League,13,2
2025-02-18,Ironclad,Kappa Squad,CS2,Demo League,13,7
2025-02-18,Vertex Gaming,Kappa Squad,CS2,Demo League,13,3
2025-02-19,Meridian,Zenith Nine,CS2,Demo League,13,11
2025-02-19,Nova Esports,Meridian,CS2,Demo League,13,5
2025-02-19,Vertex Gaming,Zenith Nine,CS2,Demo League,13,8
2025-02-19,Meridian,Kappa Squad,CS2,Demo League,13,10
2025-02-19,Solstice,Meridian,CS2,Demo League,13,7
2025-02-20,Nova Esports,Solstice,CS2,Demo League,13,2
2025-02-20,Vertex Gaming,Nova Esports,CS2,Demo League,13,2
2025-02-20,Zenith Nine,Kappa Squad,CS2,Demo League,13,5
2025-02-20,Meridian,Nightfall,CS2,Demo League,13,11
2025-02-20,Nova Esports,Zenith Nine,CS2,Demo League,13,8
2025-02-21,Nova Esports,Solstice,CS2,Demo League,13,2
2025-02-21,Solstice,Zenith Nine,CS2,Demo League,13,5
2025-02-21,Vertex Gaming,Zenith Nine,CS2,Demo League,13,9
2025-02-21,Ironclad,Solstice,CS2,Demo League,13,2
2025-02-21,Ironclad,Vertex Gaming,CS2,Demo League,13,4
2025-02-22,Nightfall,Solstice,CS2,Demo League,13,2
2025-02-22,Nova Esports,Kappa Squad,CS2,Demo League,13,7
2025-02-22,Nova Esports,Zenith Nine,CS2,Demo League,13,6
2025-02-22,Vertex Gaming,Ironclad,CS2,Demo League,13,11
2025-02-22,Zenith Nine,Solstice,CS2,Demo League,13,2
2025-02-23,Nightfall,Kappa Squad,CS2,Demo League,13,3
2025-02-23,Solstice,Ironclad,CS2,Demo League,13,6
2025-02-23,Nova Esports,Meridian,CS2,Demo League,13,8
2025-02-23,Meridian,Kappa Squad,CS2,Demo League,13,11
2025-02-23,Vertex Gaming,Zenith Nine,CS2,Demo League,13,2
2025-02-24,Nightfall,Solstice,CS2,Demo League,13,2
2025-02-24,Solstice,Zenith Nine,CS2,Demo League,13,2
2025-02-24,Solstice,Zenith Nine,CS2,Demo League,13,7
2025-02-24,Meridian,Vertex Gaming,CS2,Demo League,13,10
2025-02-24,Vertex Gaming,Zenith Nine,CS2,Demo League,13,10
2025-02-25,Vertex Gaming,Ironclad,CS2,Demo League,13,10
2025-02-25,Nova Esports,Ironclad,CS2,Demo League,13,6
2025-02-25,Kappa Squad,Nightfall,CS2,Demo League,13,10
2025-02-25,Nightfall,Vertex Gaming,CS2,Demo League,13,7
2025-02-25,Vertex Gaming,Nova Esports,CS2,Demo League,13,6
2025-02-26,Solstice,Ironclad,CS2,Demo League,13,8
2025-02-26,Ironclad,Nightfall,CS2,Demo League,13,9
2025-02-26,Nova Esports,Ironclad,CS2,Demo League,13,2
2025-02-26,Ironclad,Zenith Nine,CS2,Demo League,13,3
2025-02-26,Zenith Nine,Meridian,CS2,Demo League,13,9
2025-02-27,Nova Esports,Ironclad,CS2,Demo League,13,8
2025-02-27,Nova Esports,Meridian,CS2,Demo League,13,4
2025-02-27,Solstice,Ironclad,CS2,Demo League,13,7
2025-02-27,Nightfall,Zenith Nine,CS2,Demo League,13,6
2025-02-27,Nova Esports,Meridian,CS2,Demo League,13,11
2025-02-28,Nova Esports,Zenith Nine,CS2,Demo League,13,2
2025-02-28,Ironclad,Meridian,CS2,Demo League,13,10
2025-02-28,Nightfall,Vertex Gaming,CS2,Demo League,13,4
2025-02-28,Solstice,Nightfall,CS2,Demo League,13,9
2025-02-28,Solstice,Kappa Squad,CS2,Demo League,13,9
2025-03-01,Solstice,Kappa Squad,CS2,Demo League,13,8
2025-03-01,Vertex Gaming,Meridian,CS2,Demo League,13,4
2025-03-01,Nova Esports,Ironclad,CS2,Demo League,13,11
2025-03-01,Vertex Gaming,Nightfall,CS2,Demo League,13,7
2025-03-01,Meridian,Ironclad,CS2,Demo League,13,7
2025-03-02,Nova Esports,Ironclad,CS2,Demo League,13,6
2025-03-02,Nova Esports,Nightfall,CS2,Demo League,13,7
2025-03-02,Nightfall,Ironclad,CS2,Demo League,13,11
2025-03-02,Ironclad,Vertex Gaming,CS2,Demo League,13,3
2025-03-02,Kappa Squad,Vertex Gaming,CS2,Demo League,13,11
2025-03-03,Solstice,Meridian,CS2,Demo League,13,3
2025-03-03,Kappa Squad,Zenith Nine,CS2,Demo League,13,10
2025-03-03,Ironclad,Vertex Gaming,CS2,Demo League,13,3
2025-03-03,Zenith Nine,Nightfall,CS2,Demo League,13,11
2025-03-03,Nightfall,Nova Esports,CS2,Demo League,13,3
2025-03-04,Kappa Squad,Nightfall,CS2,Demo League,13,9
2025-03-04,Kappa Squad,Ironclad,CS2,Demo League,13,7
2025-03-04,Solstice,Kappa Squad,CS2,Demo League,13,3
2025-03-04,Kappa Squad,Zenith Nine,CS2,Demo League,13,4
2025-03-04,Nova Esports,Vertex Gaming,CS2,Demo League,13,2
2025-03-05,Ironclad,Meridian,CS2,Demo League,13,2
2025-03-05,Meridian,Zenith Nine,CS2,Demo League,13,4
2025-03-05,Nightfall,Vertex Gaming,CS2,Demo League,13,6
2025-03-05,Vertex Gaming,Zenith Nine,CS2,Demo League,13,9
2025-03-05,Kappa Squad,Ironclad,CS2,Demo League,13,5
2025-03-06,Solstice,Meridian,CS2,Demo League,13,10
2025-03-06,Ironclad,Kappa Squad,CS2,Demo League,13,6
2025-03-06,Nova Esports,Ironclad,CS2,Demo League,13,7
2025-03-06,Kappa Squad,Nightfall,CS2,Demo League,13,2
2025-03-06,Solstice,Nightfall,CS2,Demo League,13,5
2025-03-07,Vertex Gaming,Ironclad,CS2,Demo League,13,11
2025-03-07,Kappa Squad,Meridian,CS2,Demo League,13,3
2025-03-07,Vertex Gaming,Nightfall,CS2,Demo League,13,7
2025-03-07,Vertex Gaming,Kappa Squad,CS2,Demo League,13,9
2025-03-07,Zenith Nine,Meridian,CS2,Demo League,13,5
2025-03-08,Meridian,Kappa Squad,CS2,Demo League,13,3
2025-03-08,Nova Esports,Vertex Gaming,CS2,Demo League,13,9
2025-03-08,Zenith Nine,Nightfall,CS2,Demo League,13,3
2025-03-08,Ironclad,Nova Esports,CS2,Demo League,13,10
2025-03-08,Nova Esports,Zenith Nine,CS2,Demo League,13,11
2025-03-09,Vertex Gaming,Nightfall,CS2,Demo League,13,3
2025-03-09,Nova Esports,Solstice,CS2,Demo League,13,10
2025-03-09,Nova Esports,Nightfall,CS2,Demo League,13,4
2025-03-09,Nova Esports,Solstice,CS2,Demo League,13,10
2025-03-09,Nova Esports,Zenith Nine,CS2,Demo League,13,8
2025-03-10,Solstice,Nightfall,CS2,Demo League,13,2
2025-03-10,Solstice,Nova Esports,CS2,Demo League,13,7
2025-03-10,Nova Esports,Meridian,CS2,Demo League,13,4
2025-03-10,Meridian,Ironclad,CS2,Demo League,13,10
2025-03-10,Kappa Squad,Ironclad,CS2,Demo League,13,9
2025-03-11,Kappa Squad,Nightfall,CS2,Demo League,13,11
2025-03-11,Vertex Gaming,Meridian,CS2,Demo League,13,11
2025-03-11,Solstice,Nightfall,CS2,Demo League,13,2
2025-03-11,Kappa Squad,Ironclad,CS2,Demo League,13,9
2025-03-11,Solstice,Ironclad,CS2,Demo League,13,3
2025-03-12,Nova Esports,Zenith Nine,CS2,Demo League,13,11
2025-03-12,Zenith Nine,Ironclad,CS2,Demo League,13,4
2025-03-12,Nova Esports,Kappa Squad,CS2,Demo League,13,10
2025-03-12,Nova Esports,Solstice,CS2,Demo League,13,10
2025-03-12,Ironclad,Nova Esports,CS2,Demo League,13,2
2025-03-13,Ironclad,Vertex Gaming,CS2,Demo League,13,7
2025-03-13,Vertex Gaming,Ironclad,CS2,Demo League,13,11
2025-03-13,Nightfall,Vertex Gaming,CS2,Demo League,13,4
2025-03-13,Kappa Squad,Zenith Nine,CS2,Demo League,13,11
2025-03-13,Kappa Squad,Zenith Nine,CS2,Demo League,13,4
2025-03-14,Vertex Gaming,Zenith Nine,CS2,Demo League,13,7
2025-03-14,Kappa Squad,Meridian,CS2,Demo League,13,10
2025-03-14,Nova Esports,Zenith Nine,CS2,Demo League,13,6
2025-03-14,Ironclad,Nightfall,CS2,Demo League,13,11
2025-03-14,Nova Esports,Zenith Nine,CS2,Demo League,13,10
2025-03-15,Solstice,Vertex Gaming,CS2,Demo League,13,9
2025-03-15,Meridian,Zenith Nine,CS2,Demo League,13,10
2025-03-15,Zenith Nine,Ironclad,CS2,Demo League,13,3
2025-03-15,Ironclad,Zenith Nine,CS2,Demo League,13,5
2025-03-15,Ironclad,Nova Esports,CS2,Demo League,13,9
2025-03-16,Zenith Nine,Kappa Squad,CS2,Demo League,13,5
2025-03-16,Ironclad,Vertex Gaming,CS2,Demo League,13,6
2025-03-16,Meridian,Ironclad,CS2,Demo League,13,2
2025-03-16,Solstice,Zenith Nine,CS2,Demo League,13,3
2025-03-16,Vertex Gaming,Solstice,CS2,Demo League,13,2
2025-03-17,Solstice,Nightfall,CS2,Demo League,13,8
2025-03-17,Vertex Gaming,Meridian,CS2,Demo League,13,7
2025-03-17,Zenith Nine,Kappa Squad,CS2,Demo League,13,8
2025-03-17,Kappa Squad,Zenith Nine,CS2,Demo League,13,9
2025-03-17,Solstice,Meridian,CS2,Demo League,13,11
2025-03-18,Nova Esports,Nightfall,CS2,Demo League,13,10
2025-03-18,Vertex Gaming,Meridian,CS2,Demo League,13,6
2025-03-18,Ironclad,Meridian,CS2,Demo League,13,6
2025-03-18,Kappa Squad,Zenith Nine,CS2,Demo League,13,9
2025-03-18,Solstice,Ironclad,CS2,Demo League,13,10
2025-03-19,Nightfall,Zenith Nine,CS2,Demo League,13,9
2025-03-19,Meridian,Ironclad,CS2,Demo League,13,4
2025-03-19,Solstice,Zenith Nine,CS2,Demo League,13,6
2025-03-19,Nova Esports,Meridian,CS2,Demo League,13,9
2025-03-19,Nova Esports,Zenith Nine,CS2,Demo League,13,2
2025-03-20,Kappa Squad,Nightfall,CS2,Demo League,13,5
2025-03-20,Zenith Nine,Solstice,CS2,Demo League,13,3
2025-03-20,Kappa Squad,Ironclad,CS2,Demo League,13,11
2025-03-20,Ironclad,Meridian,CS2,Demo League,13,8
2025-03-20,Ironclad,Nova Esports,CS2,Demo League,13,11
2025-03-21,Ironclad,Nightfall,CS2,Demo League,13,3
2025-03-21,Solstice,Meridian,CS2,Demo League,13,5
2025-03-21,Solstice,Kappa Squad,CS2,Demo League,13,10
2025-03-21,Solstice,Vertex Gaming,CS2,Demo League,13,8
2025-03-21,Solstice,Meridian,CS2,Demo League,13,4
2025-03-22,Vertex Gaming,Kappa Squad,CS2,Demo League,13,3
2025-03-22,Ironclad,Nightfall,CS2,Demo League,13,10
2025-03-22,Nova Esports,Zenith Nine,CS2,Demo League,13,6
2025-03-22,Kappa Squad,Nightfall,CS2,Demo League,13,9
2025-03-22,Nova Esports,Kappa Squad,CS2,Demo League,13,4
2025-03-23,Solstice,Ironclad,CS2,Demo League,13,8
2025-03-23,Nova Esports,Meridian,CS2,Demo League,13,6
2025-03-23,Ironclad,Zenith Nine,CS2,Demo League,13,2
2025-03-23,Kappa Squad,Nightfall,CS2,Demo League,13,11
2025-03-23,Vertex Gaming,Zenith Nine,CS2,Demo League,13,6
2025-03-24,Meridian,Nova Esports,CS2,Demo League,13,6
2025-03-24,Zenith Nine,Meridian,CS2,Demo League,13,3
2025-03-24,Solstice,Nightfall,CS2,Demo League,13,6
2025-03-24,Meridian,Solstice,CS2,Demo League,13,2
2025-03-24,Meridian,Zenith Nine,CS2,Demo League,13,8
2025-03-25,Zenith Nine,Kappa Squad,CS2,Demo League,13,5
2025-03-25,Vertex Gaming,Kappa Squad,CS2,Demo League,13,5
2025-03-25,Meridian,Kappa Squad,CS2,Demo League,13,9
2025-03-25,Solstice,Nightfall,CS2,Demo League,13,8
2025-03-25,Nova Esports,Nightfall,CS2,Demo League,13,8
2025-03-26,Nightfall,Zenith Nine,CS2,Demo League,13,8
2025-03-26,Vertex Gaming,Ironclad,CS2,Demo League,13,3
2025-03-26,Kappa Squad,Nightfall,CS2,Demo League,13,11
2025-03-26,Kappa Squad,Zenith Nine,CS2,Demo League,13,11
2025-03-26,Ironclad,Kappa Squad,CS2,Demo League,13,4
2025-03-27,Nova Esports,Meridian,CS2,Demo League,13,9
2025-03-27,Solstice,Kappa Squad,CS2,Demo League,13,2
2025-03-27,Vertex Gaming,Solstice,CS2,Demo League,13,2
2025-03-27,Solstice,Meridian,CS2,Demo League,13,3
2025-03-27,Solstice,Vertex Gaming,CS2,Demo League,13,2
2025-03-28,Vertex Gaming,Zenith Nine,CS2,Demo League,13,2
2025-03-28,Meridian,Ironclad,CS2,Demo League,13,8
2025-03-28,Ironclad,Kappa Squad,CS2,Demo League,13,6
2025-03-28,Nova Esports,Zenith Nine,CS2,Demo League,13,11
2025-03-28,Kappa Squad,Nightfall,CS2,Demo League,13,2
2025-03-29,Nightfall,Meridian,CS2,Demo League,13,6
2025-03-29,Vertex Gaming,Ironclad,CS2,Demo League,13,8
2025-03-29,Meridian,Zenith Nine,CS2,Demo League,13,7
2025-03-29,Solstice,Ironclad,CS2,Demo League,13,8
2025-03-29,Meridian,Kappa Squad,CS2,Demo League,13,10
2025-03-30,Nova Esports,Meridian,CS2,Demo League,13,2
2025-03-30,Kappa Squad,Ironclad,CS2,Demo League,13,4
